iter	Logloss
0	0.6144341391
1	0.5498229124
2	0.4989180664
3	0.4483616196
4	0.4108916717
5	0.3794051349
6	0.3518049645
7	0.328546441
8	0.3073678906
9	0.2868165467
10	0.2715317007
11	0.257850713
12	0.2471869138
13	0.2372056623
14	0.2270226556
15	0.2193059923
16	0.2127412849
17	0.2073006789
18	0.2010424206
19	0.196819532
20	0.1933311672
21	0.1895678046
22	0.1861631238
23	0.1826955785
24	0.1800274598
25	0.1778267433
26	0.1750402867
27	0.1732273097
28	0.1710855044
29	0.1696188651
30	0.1676975116
31	0.1660122468
32	0.1648637242
33	0.1635302344
34	0.1625616041
35	0.161879026
36	0.1611447226
37	0.1602703537
38	0.1592114373
39	0.1584832465
40	0.1577828436
41	0.1572445804
42	0.156326758
43	0.1556754778
44	0.1549727268
45	0.1544572324
46	0.1540620815
47	0.1535677518
48	0.1528955433
49	0.1524525096
50	0.1521452368
51	0.1515251996
52	0.1511814973
53	0.1507099544
54	0.1503401638
55	0.1500099169
56	0.1497746532
57	0.1495002712
58	0.149184745
59	0.1488847635
60	0.1486505142
61	0.1483912505
62	0.1481385574
63	0.1478649344
64	0.1476665659
65	0.1474211125
66	0.1472501609
67	0.1470624555
68	0.1468541733
69	0.1467322196
70	0.1464472166
71	0.1463113645
72	0.1461519528
73	0.1459988645
74	0.1458576333
75	0.1456166877
76	0.1454990897
77	0.1453250118
78	0.1451810313
79	0.1449524649
80	0.1448525159
81	0.1446644605
82	0.1445672735
83	0.1444632336
84	0.1443914749
85	0.1443339205
86	0.1442233334
87	0.1440450151
88	0.1439604327
89	0.1438520418
90	0.1436784666
91	0.143564952
92	0.143527513
93	0.1433736914
94	0.1433016358
95	0.1431555765
96	0.1430423005
97	0.1429537464
98	0.1428533617
99	0.1427383118
100	0.1426125513
101	0.1425198665
102	0.1424440197
103	0.1423489379
104	0.1422244397
105	0.1421451485
106	0.1420484357
107	0.1420175182
108	0.1418738609
109	0.1418093631
110	0.1416749231
111	0.1416194297
112	0.1415006979
113	0.1414425563
114	0.1413786714
115	0.1412913584
116	0.1412184631
117	0.1411810196
118	0.1410961587
119	0.1409870199
120	0.1409018836
121	0.1408180203
122	0.1407700432
123	0.1406964767
124	0.1406093304
125	0.1405747642
126	0.1405148755
127	0.1404581633
128	0.1404209612
129	0.1403573752
130	0.1403102023
131	0.1402644459
132	0.1402426158
133	0.140206687
134	0.140148826
135	0.1400863906
136	0.1400310404
137	0.1399831363
138	0.1399418653
139	0.1398745494
140	0.1398131181
141	0.139771499
142	0.1397134987
143	0.1396895581
144	0.1396377423
145	0.139577053
146	0.1395514808
147	0.1395266065
148	0.1394857633
149	0.139453696
150	0.1394235705
151	0.1393928913
152	0.1393638317
153	0.1393426099
154	0.1393176175
155	0.1392774592
156	0.1392367989
157	0.1392147744
158	0.1391951561
159	0.1391649911
160	0.1391331584
161	0.1391062386
162	0.1390671722
163	0.1390536216
164	0.139029572
165	0.1389985149
166	0.1389827399
167	0.1389587913
168	0.1389307696
169	0.1389178932
170	0.1388964614
171	0.1388695918
172	0.138835013
173	0.1388013835
174	0.1387711234
175	0.1387590003
176	0.138733329
177	0.1387179821
178	0.1386846721
179	0.1386766424
180	0.1386655849
181	0.1386309513
182	0.1385930337
183	0.1385687786
184	0.1385442413
185	0.1385174052
186	0.1384886231
187	0.1384700133
188	0.13844874
189	0.13841884
190	0.1384011666
191	0.1383823086
192	0.1383741017
193	0.1383626987
194	0.1383421702
195	0.1383273234
196	0.1383115974
197	0.1382944223
198	0.138282144
199	0.1382697361
200	0.1382610265
201	0.1382539311
202	0.1382331493
203	0.1382252406
204	0.1382046062
205	0.1381892797
206	0.1381673442
207	0.1381543885
208	0.1381495046
209	0.1381361576
210	0.1381169594
211	0.1381059569
212	0.1381025778
213	0.1380871856
214	0.1380754602
215	0.1380668562
216	0.1380548128
217	0.1380360935
218	0.1380292351
219	0.1380115133
220	0.1380004456
221	0.1379807428
222	0.1379752238
223	0.1379666694
224	0.137949382
225	0.1379254317
226	0.13791391
227	0.1378884403
228	0.1378818446
229	0.1378662007
230	0.1378564021
231	0.1378417445
232	0.1378296718
233	0.1378208757
234	0.1378125133
235	0.1377903539
236	0.1377748263
237	0.1377657091
238	0.1377521416
239	0.137741368
240	0.1377209249
241	0.1377088967
242	0.1376991855
243	0.137688989
244	0.1376820141
245	0.1376738013
246	0.1376631562
247	0.1376449857
248	0.137634871
249	0.1376255993
250	0.1376199379
251	0.1376100271
252	0.1376061749
253	0.1375984966
254	0.1375872444
255	0.1375731054
256	0.1375597449
257	0.1375478909
258	0.1375341202
259	0.1375222265
260	0.1375144679
261	0.1375015444
262	0.1374917657
263	0.1374840801
264	0.1374747053
265	0.1374692593
266	0.137466095
267	0.1374597318
268	0.1374523353
269	0.1374475415
270	0.1374407155
271	0.1374386307
