iter	Passed	Remaining
0	713	3564630
1	1300	3249018
2	1893	3153777
3	2619	3271247
4	3192	3188961
5	3855	3209382
6	4408	3144454
7	5060	3157916
8	5606	3108898
9	6168	3078038
10	6851	3107241
11	7468	3104495
12	8215	3151775
13	8946	3186347
14	9550	3174000
15	10130	3155623
16	10627	3115224
17	11283	3123007
18	11942	3130771
19	12575	3131349
20	13287	3150328
21	14043	3177596
22	14559	3150499
23	15178	3146969
24	15962	3176544
25	16619	3179399
26	17202	3168532
27	17955	3188408
28	18667	3199792
29	19389	3212189
30	19905	3190661
31	20477	3179198
32	21258	3199663
33	21938	3204295
34	22595	3205379
35	23287	3211151
36	24134	3237225
37	24635	3216848
38	25340	3223422
39	25862	3206946
40	26567	3213386
41	27211	3212284
42	27782	3202775
43	28553	3216166
44	29513	3249728
45	30399	3273851
46	31193	3287314
47	31681	3268485
48	32662	3300277
49	33393	3305918
50	33889	3288575
51	34796	3311016
52	35575	3320580
53	36417	3335554
54	37185	3343305
55	37953	3350722
56	38805	3365156
57	39726	3384948
58	40426	3385558
59	41354	3404852
60	42037	3403680
61	42777	3407015
62	43577	3414951
63	44321	3418281
64	45263	3436544
65	45847	3427462
66	46354	3412949
67	47162	3420654
68	47671	3406793
69	48569	3420673
70	49367	3427235
71	50641	3466154
72	51610	3483345
73	52396	3487916
74	53563	3517339
75	54233	3513737
76	55049	3519608
77	55806	3521544
78	56513	3520307
79	57049	3508537
80	57866	3514153
81	58727	3522215
82	59589	3530120
83	60779	3557052
84	61303	3544802
85	62209	3554638
86	63031	3559480
87	63760	3559009
88	64883	3580240
89	66130	3607787
90	66789	3602977
91	67512	3601669
92	68745	3627269
93	69463	3625428
94	70747	3652786
95	71517	3653329
96	72650	3672224
97	73697	3686378
98	74671	3696606
99	76018	3724914
100	76770	3723741
101	77480	3720561
102	78407	3727769
103	79376	3736803
104	80050	3731898
105	80947	3737315
106	81649	3733739
107	82549	3739208
108	83242	3735198
109	83752	3723168
110	84501	3721851
111	85244	3720314
112	85984	3718634
113	87081	3732274
114	88318	3751602
115	89223	3756607
116	89997	3756060
117	91292	3777052
118	91969	3772274
119	92844	3775686
120	93739	3779790
121	94876	3793486
122	96136	3811842
123	96894	3810123
124	97765	3812857
